u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
-3.132779	-0.498727	0.625727	-0.250461	0.530404	0.065206	-0.017748	-0.037076	3	8	9
-4.212168	-0.610321	0.402044	0.075945	0.512779	-0.028219	-0.086194	0.023853	1	1	10
-4.212168	-0.610321	0.402044	0.075945	0.512779	-0.028219	-0.086194	0.023853	2	1	10
-4.212168	-0.610321	0.402044	0.075945	0.512779	-0.028219	-0.086194	0.023853	3	1	10
-4.844774	-0.676209	0.543967	0.241980	0.464264	-0.054679	0.003867	-0.071854	1	2	10
-4.844774	-0.676209	0.543967	0.241980	0.464264	-0.054679	0.003867	-0.071854	2	2	10
-4.844774	-0.676209	0.543967	0.241980	0.464264	-0.054679	0.003867	-0.071854	3	2	10
-3.725146	-0.504920	0.532916	0.107594	0.491514	0.022342	-0.024839	0.099550	1	3	10
-3.725146	-0.504920	0.532916	0.107594	0.491514	0.022342	-0.024839	0.099550	2	3	10
-3.725146	-0.504920	0.532916	0.107594	0.491514	0.022342	-0.024839	0.099550	3	3	10
-4.202169	-0.399702	0.691228	0.277704	0.449054	0.045161	-0.069578	-0.064233	1	4	10
-4.202169	-0.399702	0.691228	0.277704	0.449054	0.045161	-0.069578	-0.064233	2	4	10
-4.202169	-0.399702	0.691228	0.277704	0.449054	0.045161	-0.069578	-0.064233	3	4	10
-3.699389	-0.698765	0.375236	0.101256	0.512779	-0.025427	-0.090598	0.027153	1	5	10
-3.699389	-0.698765	0.375236	0.101256	0.512779	-0.025427	-0.090598	0.027153	2	5	10
-3.699389	-0.698765	0.375236	0.101256	0.512779	-0.025427	-0.090598	0.027153	3	5	10
-4.380510	-0.668665	0.489103	0.153673	0.464264	-0.055032	0.009794	-0.100885	1	6	10
-4.380510	-0.668665	0.489103	0.153673	0.464264	-0.055032	0.009794	-0.100885	2	6	10
-4.380510	-0.668665	0.489103	0.153673	0.464264	-0.055032	0.009794	-0.100885	3	6	10
-3.233632	-0.528730	0.554011	0.208005	0.491514	0.019701	-0.022931	0.099690	1	7	10
-3.233632	-0.528730	0.554011	0.208005	0.491514	0.019701	-0.022931	0.099690	2	7	10
-3.233632	-0.528730	0.554011	0.208005	0.491514	0.019701	-0.022931	0.099690	3	7	10
-3.753115	-0.472197	0.733414	0.205206	0.449054	0.039033	-0.075087	-0.079698	1	8	10
-3.753115	-0.472197	0.733414	0.205206	0.449054	0.039033	-0.075087	-0.079698	2	8	10
-3.753115	-0.472197	0.733414	0.205206	0.449054	0.039033	-0.075087	-0.079698	3	8	10
-3.288692	-0.365228	0.543871	0.036498	0.517951	-0.113688	-0.052580	0.128955	1	1	11
-3.288692	-0.365228	0.543871	0.036498	0.517951	-0.113688	-0.052580	0.128955	2	1	11
-3.288692	-0.365228	0.543871	0.036498	0.517951	-0.113688	-0.052580	0.128955	3	1	11
-3.725146	-0.480870	0.552157	-0.042868	0.491514	-0.007733	-0.014886	0.055290	1	2	11
-3.725146	-0.480870	0.552157	-0.042868	0.491514	-0.007733	-0.014886	0.055290	2	2	11
-3.725146	-0.480870	0.552157	-0.042868	0.491514	-0.007733	-0.014886	0.055290	3	2	11
-2.752848	-0.288509	0.502184	0.125626	0.439509	-0.051767	0.030496	0.004467	1	3	11
-2.752848	-0.288509	0.502184	0.125626	0.439509	-0.051767	0.030496	0.004467	2	3	11
-2.752848	-0.288509	0.502184	0.125626	0.439509	-0.051767	0.030496	0.004467	3	3	11
-3.175704	-0.513117	0.530337	-0.020818	0.499817	-0.023028	0.011252	-0.030632	1	4	11
-3.175704	-0.513117	0.530337	-0.020818	0.499817	-0.023028	0.011252	-0.030632	2	4	11
-3.175704	-0.513117	0.530337	-0.020818	0.499817	-0.023028	0.011252	-0.030632	3	4	11
-2.770741	-0.418677	0.429988	0.158056	0.517951	-0.113527	-0.054256	0.112457	1	5	11
-2.770741	-0.418677	0.429988	0.158056	0.517951	-0.113527	-0.054256	0.112457	2	5	11
-2.770741	-0.418677	0.429988	0.158056	0.517951	-0.113527	-0.054256	0.112457	3	5	11
-3.233632	-0.494224	0.547176	0.021986	0.491514	-0.001218	-0.012183	0.075423	1	6	11
-3.233632	-0.494224	0.547176	0.021986	0.491514	-0.001218	-0.012183	0.075423	2	6	11
-3.233632	-0.494224	0.547176	0.021986	0.491514	-0.001218	-0.012183	0.075423	3	6	11
-2.313339	-0.272621	0.451387	0.109140	0.439509	-0.049757	0.006229	-0.028814	1	7	11
-2.313339	-0.272621	0.451387	0.109140	0.439509	-0.049757	0.006229	-0.028814	2	7	11
-2.313339	-0.272621	0.451387	0.109140	0.439509	-0.049757	0.006229	-0.028814	3	7	11
-2.675886	-0.483372	0.516474	-0.001213	0.499817	-0.003912	0.047314	0.072152	1	8	11
-2.675886	-0.483372	0.516474	-0.001213	0.499817	-0.003912	0.047314	0.072152	2	8	11
-2.675886	-0.483372	0.516474	-0.001213	0.499817	-0.003912	0.047314	0.072152	3	8	11
-3.723553	-0.410507	0.369608	0.022738	0.595871	-0.053641	-0.079163	-0.020805	1	1	12
-3.723553	-0.410507	0.369608	0.022738	0.595871	-0.053641	-0.079163	-0.020805	2	1	12
-3.723553	-0.410507	0.369608	0.022738	0.595871	-0.053641	-0.079163	-0.020805	3	1	12
-4.212168	-0.512969	0.402044	0.033284	0.512779	-0.028219	-0.078606	0.038267	1	2	12
-4.212168	-0.512969	0.402044	0.033284	0.512779	-0.028219	-0.078606	0.038267	2	2	12
-4.212168	-0.512969	0.402044	0.033284	0.512779	-0.028219	-0.078606	0.038267	3	2	12
